時刻,右目x座標,右目y座標,左目x座標,左目y座標,右目瞳孔径,左目瞳孔径,右目TorF,左目TorF
42:16.7,0.302892834,0.273577839,0.289602548,0.270629823,2.703338623,2.551986694,TRUE,TRUE
42:16.7,0.302892834,0.273577839,0.289602548,0.270629823,2.703338623,2.551986694,TRUE,TRUE
42:16.7,0.302436918,0.271126032,0.288515866,0.270223647,2.702957153,2.561569214,TRUE,TRUE
42:16.7,0.302436918,0.271126032,0.288515866,0.270223647,2.702957153,2.561569214,TRUE,TRUE
42:16.7,0.302436918,0.271126032,0.288515866,0.270223647,2.702957153,2.561569214,TRUE,TRUE
42:16.8,0.302752435,0.273275375,0.287851721,0.270395458,2.710540771,2.564620972,TRUE,TRUE
42:16.8,0.302752435,0.273275375,0.287851721,0.270395458,2.710540771,2.564620972,TRUE,TRUE
42:16.8,0.302752435,0.273275375,0.287851721,0.270395458,2.710540771,2.564620972,TRUE,TRUE
42:16.8,0.303438842,0.2757186,0.285985291,0.274956584,2.714141846,2.573028564,TRUE,TRUE
42:16.8,0.303438842,0.2757186,0.285985291,0.274956584,2.714141846,2.573028564,TRUE,TRUE
42:16.8,0.303438842,0.2757186,0.285985291,0.274956584,2.714141846,2.573028564,TRUE,TRUE
42:16.8,0.296879947,0.242593095,0.284620285,0.242654353,2.726608276,2.580993652,TRUE,TRUE
42:16.8,0.296879947,0.242593095,0.284620285,0.242654353,2.726608276,2.580993652,TRUE,TRUE
42:16.8,0.296879947,0.242593095,0.284620285,0.242654353,2.726608276,2.580993652,TRUE,TRUE
42:16.8,0.289620221,0.211640447,0.278957307,0.195621222,2.719573975,2.575531006,TRUE,TRUE
42:16.8,0.289620221,0.211640447,0.278957307,0.195621222,2.719573975,2.575531006,TRUE,TRUE
42:16.8,0.289620221,0.211640447,0.278957307,0.195621222,2.719573975,2.575531006,TRUE,TRUE
42:16.8,0.28057304,0.160434306,0.273480147,0.164518043,2.705978394,2.55960083,TRUE,TRUE
42:16.8,0.28057304,0.160434306,0.273480147,0.164518043,2.705978394,2.55960083,TRUE,TRUE
42:16.8,0.28057304,0.160434306,0.273480147,0.164518043,2.705978394,2.55960083,TRUE,TRUE
42:16.8,0.281619132,0.155138105,0.274179012,0.144459412,2.714767456,2.56413269,TRUE,TRUE
42:16.8,0.281619132,0.155138105,0.274179012,0.144459412,2.714767456,2.56413269,TRUE,TRUE
42:16.8,0.281619132,0.155138105,0.274179012,0.144459412,2.714767456,2.56413269,TRUE,TRUE
42:16.9,0.283192664,0.149521902,0.274339199,0.144324392,2.732116699,2.58140564,TRUE,TRUE
42:16.9,0.283192664,0.149521902,0.274339199,0.144324392,2.732116699,2.58140564,TRUE,TRUE
42:16.9,0.283192664,0.149521902,0.274339199,0.144324392,2.732116699,2.58140564,TRUE,TRUE
42:16.9,0.283757031,0.149334803,0.274297982,0.148498893,2.743789673,2.590988159,TRUE,TRUE
42:16.9,0.283757031,0.149334803,0.274297982,0.148498893,2.743789673,2.590988159,TRUE,TRUE
42:16.9,0.283757031,0.149334803,0.274297982,0.148498893,2.743789673,2.590988159,TRUE,TRUE
42:16.9,0.281803697,0.151055664,0.273283869,0.149169147,2.743438721,2.598098755,TRUE,TRUE
42:16.9,0.281803697,0.151055664,0.273283869,0.149169147,2.743438721,2.598098755,TRUE,TRUE
42:16.9,0.281803697,0.151055664,0.273283869,0.149169147,2.743438721,2.598098755,TRUE,TRUE
42:16.9,0.281257451,0.152963206,0.272054821,0.149904326,2.744400024,2.601791382,TRUE,TRUE
42:16.9,0.281257451,0.152963206,0.272054821,0.149904326,2.744400024,2.601791382,TRUE,TRUE
42:16.9,0.281257451,0.152963206,0.272054821,0.149904326,2.744400024,2.601791382,TRUE,TRUE
42:16.9,0.28228882,0.1550823,0.27062431,0.152147934,2.77130127,2.607879639,TRUE,TRUE
42:16.9,0.28228882,0.1550823,0.27062431,0.152147934,2.77130127,2.607879639,TRUE,TRUE
42:16.9,0.28228882,0.1550823,0.27062431,0.152147934,2.77130127,2.607879639,TRUE,TRUE
42:16.9,0.283170462,0.153434619,0.269674569,0.154187843,2.7837677,2.631195068,TRUE,TRUE
